SITE_ID,X,Y,ALTITUDE,NAME,SITE_TYPE,GRADE20042006,GRADE2010,TLI20042006,TLI2010
SQ20601,171.1460439,-44.7024444,1,WAINONO LAGOON,Lakes                    ,Supertrophic,Hypertrophic,5.928426,6.604504
SQ30079,172.1900798,-42.7000545,504.71,LAKE SUMNER,Lakes                    ,Microtrophic,Oligotrophic,1.439563,2.559882
SQ30140,172.2519124,-42.76132096,578,LAKE SHEPPARD,Lakes                    ,-unspecified-,Mesotrophic,0,3.3046
SQ30141,172.23749,-42.76964231,578.5,LAKE TAYLOR,Lakes                    ,Oligotrophic,Oligotrophic,2.094896,2.455842
SQ30144,172.2319623,-42.67913579,680,LAKE MARION,Lakes                    ,-unspecified-,Mesotrophic,0,3.360971
SQ30147,172.2000378,-42.71802299,519.88,LAKE KATRINE,Lakes                    ,Oligotrophic,Oligotrophic,2.22441,2.954401
SQ30486,171.8505818,-43.10400903,571.06,LAKE HAWDON,Lakes                    ,Oligotrophic,Oligotrophic,2.528726,2.654075
SQ30497,171.782032,-43.09926414,603.15,LAKE PEARSON,Lakes                    ,Oligotrophic,Oligotrophic,2.044641,2.674225
SQ30521,171.776197,-43.04824536,575.37,LAKE SARAH,Lakes                    ,Oligotrophic,Mesotrophic,2.624223,3.417041
SQ30525,171.776415,-43.06252631,589.18,LAKE GRASMERE,Lakes                    ,Oligotrophic,Mesotrophic,2.438228,3.208827
SQ30954,172.4540174,-43.78459872,2,LAKE ELLESMERE,Lakes                    ,Hypertrophic,Hypertrophic,6.9,7.1
SQ31043,171.7036371,-43.29991027,825.96,LAKE LYNDON,Lakes                    ,Oligotrophic,Oligotrophic,2.363711,2.817467
SQ31045,171.4843995,-43.28606021,449.64,LAKE COLERIDGE,Lakes                    ,Microtrophic,Microtrophic,1.20514,1.827241
SQ31047,171.5688632,-43.31770464,536.66,LAKE GEORGINA,Lakes                    ,Oligotrophic,Mesotrophic,2.860877,3.544698
SQ31051,171.5383836,-43.23540978,675.65,LAKE IDA,Lakes                    ,Oligotrophic,Oligotrophic,2.180063,2.781565
SQ31065,171.5219504,-43.24129345,568.66,LAKE SELFE,Lakes                    ,Oligotrophic,Oligotrophic,2.193994,2.943423
SQ31093,171.1689204,-43.48431913,692.39,LAKE HERON,Lakes                    ,Oligotrophic,Oligotrophic,2.309593,2.891538
SQ31096,170.4538215,-43.93343094,711.09,LAKE ALEXANDRINA,Lakes                    ,Oligotrophic,Mesotrophic,2.709399,3.09089
SQ32801,171.1073308,-43.63540612,639.76,LAKE EMMA,Lakes                    ,Mesotrophic,Eutrophic,3.901115,4.309481
SQ32802,171.0559297,-43.6147394,675.94,LAKE CAMP,Lakes                    ,Oligotrophic,Oligotrophic,2.671302,2.864882
SQ32804,171.0521535,-43.60384402,675,LAKE CLEARWATER,Lakes                    ,Mesotrophic,Eutrophic,3.189361,4.269072
SQ32908,170.5279981,-43.93466114,685.79,LAKE TEKAPO,Lakes                    ,Microtrophic,Oligotrophic,1.418922,2.168853
SQ32909,169.8783268,-44.27311259,455.14,LAKE OHAU,Lakes                    ,Microtrophic,Oligotrophic,1.587399,2.076674
SQ33147,172.7364595,-43.79993303,2,LAKE FORSYTH,Lakes                    ,Hypertrophic,Hypertrophic,7.841595,7.896092
SQ34548,172.3023775,-43.86918387,1,MURIWAI,Lakes                    ,Eutrophic,Eutrophic,4.464272,4.722188
SQ34907,170.2116921,-44.44894597,346.51,LAKE BENMORE,Lakes                    ,Microtrophic,Oligotrophic,1.378174,2.10617
SQ34908,170.1994507,-44.09632529,477.64,LAKE PUKAKI,Lakes                    ,Microtrophic,Microtrophic,1.734427,1.998304
SQ35175,173.5834903,-42.40761526,25,LAKE ROTORUA,Lakes                    ,-unspecified-,Hypertrophic,0,7.541007
SQ35595,171.2494962,-44.36632206,1,WASHDYKE LAGOON,Estuaries                ,-unspecified-,Supertrophic,0,5.888551
SQ35641,170.2960224,-44.63250487,300,LAKE AVIEMORE,Lakes                    ,-unspecified-,Oligotrophic,0,2.242192
SQ35642,172.1705837,-42.73292686,675,LAKE MASON,Lakes                    ,-unspecified-,Oligotrophic,0,2.687979
